Mobile Name,Price,Ratings
"REDMI 9i (Midnight Black, 64 GB)","₹8,499",4.3
"POCO C3 (Arctic Blue, 64 GB)","₹8,999",4.3
"REDMI 9 Power (Blazing Blue, 64 GB)","₹10,999",4.3
"REDMI 9 Prime (Space Blue, 64 GB)","₹11,999",4.4
"POCO C3 (Arctic Blue, 32 GB)","₹7,999",4.3
"REDMI 9i (Sea Blue, 64 GB)","₹8,499",4.3
"REDMI 9 Power (Mighty Black, 64 GB)","₹10,999",4.3
"REDMI 9 Power (Electric Green, 64 GB)","₹10,999",4.3
"REDMI 9 Prime (Mint Green, 64 GB)","₹9,999",4.4
"POCO M3 (Yellow, 64 GB)","₹10,999",4.3
"realme C21 (Cross Blue, 64 GB)","₹9,999",4.4
"realme C21 (Cross Black, 64 GB)","₹9,999",4.4
"realme C21 (Cross Black, 32 GB)","₹8,999",4.4
"realme C21 (Cross Blue, 32 GB)","₹8,999",4.4
"POCO C3 (Matte Black, 64 GB)","₹8,999",4.3
"REDMI 9i (Nature Green, 64 GB)","₹8,499",4.3
"realme C25s (Watery Blue, 128 GB)","₹11,999",4.5
"realme C25s (Watery Grey, 128 GB)","₹11,999",4.5
"realme C25s (Watery Blue, 64 GB)","₹10,999",4.5
"realme C25s (Watery Grey, 64 GB)","₹10,999",4.5
"POCO M3 (Power Black, 64 GB)","₹10,999",4.3
"POCO M3 (Power Black, 128 GB)","₹12,999",4.3
"POCO C3 (Matte Black, 32 GB)","₹7,999",4.3
"realme C11 2021 (Cool Blue, 32 GB)","₹7,299",4.3
