SerialNo,GamesNames,Ratings,Downloads
1,City Racing,4.39,1.6K
2,Alien Shooter,4.12,730
3,Fast or,3.98,651
4,Alien Shooter,4.41,524
5,Super Bikes,4.12,466
6,Invention 2,4.32,457
7,Police Supercars,4.35,419
8,Fire and,4.36,403
9,Wizards Spell,4.26,394
10,Crazy Cars,4.29,394
11,Contract with,4.16,393
12,Goodgame Big,4.46,380
13,Witch's Pranks:,4.48,289
14,Moto Racing,4.13,268
15,Gardenscapes Rating,4.4,267
16,Rail Nation,4.41,265
17,Dark Heart:,4.33,261
18,Farmscapes Rating,4.43,253
19,Goodgame Empire,4.51,250
20,Zombie Shooter,4.24,248
21,Haunted House,4.19,247
22,World of,4.35,247
23,All Evil,4.28,240
24,Motoracing Rating,4.26,232
25,Fall Of,4.23,226
26,Travel to,3.5,224
27,Eldorado Puzzle,3.86,224
28,Supercow Rating,4.45,211
29,Off-Road Super,4.23,208
30,Bubble Shooter,4.37,207
31,Gardenscapes 2,4.36,195
32,Chess Rating,4.02,195
33,Barn Yarn,4.31,187
34,Dreamscapes: The,4.57,178
35,Zombie Derby,4.21,175
36,Crazy Birds,4.23,171
37,World of,4.42,169
38,Cradle of,4.26,168
39,Dirt Bike,4.35,146
40,Around the,4.33,145
41,Offroad Racers,4.36,140
42,The Far,4.21,140
43,Football World,3.57,140
44,Totem Tribe,4.42,139
45,Shark Attack,4.44,139
46,Adam Wolfe,4.42,129
47,Invention Rating,4.37,122
48,Zombie Shooter,4.37,118
49,Fishdom Rating,4.26,116
50,Zombie Apocalypse,4.3,115
51,Aquascapes Rating,4.32,114
52,Stolen Secrets,4.31,111
53,Alexander the,4.32,103
54,Hard Ride,4.3,102
55,Russian Car,4.11,100
56,Dream Hills,4.22,99
57,Annabel Rating,4.41,99
58,The Book,4.26,98
59,Supercars Racing,4.25,97
60,Fishdom 3,4.21,93
61,Hope Lake,4.26,93
62,Dirt Rally,4.28,91
63,Snail Bob,4.41,89
64,Star Racing,4.15,88
65,Secrets of,4.22,87
66,Airport Madness,4.37,85
67,Air Attack,4.38,85
68,Air Assault,4.38,83
69,Renzo Racer,4.37,82
70,Cradle of,4.17,81
71,Sky Runners,4.17,80
72,Jack of,4.44,78
73,Sky Track,4.35,78
74,Chess Pro,4.16,78
75,Invasion 2:,4.43,78
76,Spear of,4.45,76
77,Lost Lagoon,4.32,76
78,Amulet Of,4.49,76
79,Travel to,4.05,76
80,The Island:,4.44,76
81,Real Pool,4.0,75
82,Crystals of,3.97,74
83,Legends of,4.15,72
84,8 Ball,3.57,71
85,Conflict of,4.36,69
86,Storm Chasers:,4.49,69
87,Sacred Almanac:,4.34,69
88,Retro Car,4.17,69
89,Turtle Odyssey,4.3,68
90,Inbetween Land,4.34,68
91,Turtle Odyssey,4.39,67
92,KILLALLZOMBIES Rating,4.24,67
93,Desert Hawk,4.36,67
94,Azteca Bubbles,4.02,67
95,Lethal Brutal,4.29,66
96,Sea Legends:,4.52,65
97,Shadow Shelter,4.27,64
98,Nitroracers Rating,4.2,64
99,Exotic Farm,4.37,63
100,Clutter V:,4.16,63
